SurveyId,rID,AssignmentID,DurationInSeconds,StartTime,CompletionTime,CompCode
343150,A1P6LFEAY9MWAY,3M0BCWMB8Z1DXVB1HGCN25MD5ETBWY,199,1/27/22 14:28,1/27/22 14:32,R_3oHeE7Vq9RAfwrA
343150,A22OPXKTGLCX7B,3D4CH1LGEEYYCG644RU9PW5ZNQ09GN,806,1/27/22 14:28,1/27/22 14:42,R_2cqk5ElS6J1eXWu
343150,A2N4Q60TCBWBL4,3HL8HNGX496SYGA9T7OR7B5NMB09FO,416,1/27/22 14:36,1/27/22 14:43,R_3G95bZjmyB02OFV
343150,A22HIX1M4QXZBB,3E7TUJ2EGGRV0WWD21T1JB22AYO9DH,517,1/27/22 14:54,1/27/22 15:03,R_bpwQBDMhEyguBTX
343150,A27X2HWYZ76M5K,3X31TUMD71RW93HAB5CWNISOLV21LG,1010,1/27/22 14:54,1/27/22 15:11,R_3m4vguJfMRVVh4l
343150,A2KY3OQSHFS529,3S4AW7T80FND12ETYNVYLGZRXFC4LW,1128,1/27/22 14:54,1/27/22 15:13,R_2YgZeAuR41Fqp69
343150,AJXIC6Q5EM76P,34PGFRQONSGJFE9D58P40T5QDJ5WJ7,1190,1/27/22 14:54,1/27/22 15:14,R_D5HbAmQdw604V7X
343150,A2NK7QNVRPQBXM,3FTOP5WARJTQ7O8SC1WJTYWMCEUJ0W,357,1/27/22 15:23,1/27/22 15:29,R_3MKCkXahg6kaB13
343150,A1GLH12EW5HG5Q,3SUWZRL0M2IDAJ8F0P195JTLK9K6EZ,1148,1/27/22 15:20,1/27/22 15:39,R_1OT8p6ElgzhlBKR
343150,A3VG22WR5I4UG2,336YQZE83ZJF330EC4FNQLKUXG9M5X,216,1/27/22 15:47,1/27/22 15:50,R_6yz6i0k2BIkNhUB
343150,A2EBGIJB58YN47,3VP0C6EFSK1BM70SHNPSIRYUTBKM6D,360,1/27/22 15:47,1/27/22 15:53,R_2yl9DfeKrebBGGF
343150,A81WMATKTSI3U,3VJ40NV2QMS5O8WGQGCYL5FD8JAOT5,369,1/27/22 15:49,1/27/22 15:55,R_3nNJeR0YtTeozQb
